Product_Name,Price_Cleaned,Rating_Numeric,Product_Name_Upper,Product_Name_Lower,Product_ID
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,3,THE 10% ENTREPRENEUR: LIVE YOUR STARTUP DREAM WITHOUT QUITTING YOUR DAY JOB,the 10% entrepreneur: live your startup dream without quitting your day job,PROD1164
Suddenly in Love (Lake Haven #1),55.99,2,SUDDENLY IN LOVE (LAKE HAVEN #1),suddenly in love (lake haven #1),PROD1165
Something More Than This,16.24,4,SOMETHING MORE THAN THIS,something more than this,PROD1166
Soft Apocalypse,26.12,2,SOFT APOCALYPSE,soft apocalypse,PROD1167
So You've Been Publicly Shamed,12.23,2,SO YOU'VE BEEN PUBLICLY SHAMED,so you've been publicly shamed,PROD1168
Shoe Dog: A Memoir by the Creator of NIKE,23.99,2,SHOE DOG: A MEMOIR BY THE CREATOR OF NIKE,shoe dog: a memoir by the creator of nike,PROD1169
"Shobu Samurai, Project Aryoku (#3)",29.06,3,"SHOBU SAMURAI, PROJECT ARYOKU (#3)","shobu samurai, project aryoku (#3)",PROD1170
Secrets and Lace (Fatal Hearts #1),20.27,1,SECRETS AND LACE (FATAL HEARTS #1),secrets and lace (fatal hearts #1),PROD1171
Scarlett Epstein Hates It Here,43.55,5,SCARLETT EPSTEIN HATES IT HERE,scarlett epstein hates it here,PROD1172
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,1,ROMERO AND JULIET: A TRAGIC TALE OF LOVE AND ZOMBIES,romero and juliet: a tragic tale of love and zombies,PROD1173
Redeeming Love,20.47,5,REDEEMING LOVE,redeeming love,PROD1174
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,1,POSES FOR ARTISTS VOLUME 1 - DYNAMIC AND SITTING POSES: AN ESSENTIAL REFERENCE FOR FIGURE DRAWING AND THE HUMAN FORM,poses for artists volume 1 - dynamic and sitting poses: an essential reference for figure drawing and the human form,PROD1175
Poems That Make Grown Women Cry,14.19,4,POEMS THAT MAKE GROWN WOMEN CRY,poems that make grown women cry,PROD1176
"Nightingale, Sing",38.28,1,"NIGHTINGALE, SING","nightingale, sing",PROD1177
Night Sky with Exit Wounds,41.05,1,NIGHT SKY WITH EXIT WOUNDS,night sky with exit wounds,PROD1178
Mrs. Houdini,30.25,5,MRS. HOUDINI,mrs. houdini,PROD1179
Modern Romance,28.26,5,MODERN ROMANCE,modern romance,PROD1180
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),10.76,1,MISS PEREGRINE’S HOME FOR PECULIAR CHILDREN (MISS PEREGRINE’S PECULIAR CHILDREN #1),miss peregrine’s home for peculiar children (miss peregrine’s peculiar children #1),PROD1181
Louisa: The Extraordinary Life of Mrs. Adams,16.85,2,LOUISA: THE EXTRAORDINARY LIFE OF MRS. ADAMS,louisa: the extraordinary life of mrs. adams,PROD1182
Little Red,13.47,3,LITTLE RED,little red,PROD1183
Library of Souls (Miss Peregrine’s Peculiar Children #3),48.56,5,LIBRARY OF SOULS (MISS PEREGRINE’S PECULIAR CHILDREN #3),library of souls (miss peregrine’s peculiar children #3),PROD1184
Large Print Heart of the Pride,19.15,2,LARGE PRINT HEART OF THE PRIDE,large print heart of the pride,PROD1185
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,4,I HAD A NICE TIME AND OTHER LIES...: HOW TO FIND LOVE & SH*T LIKE THAT,i had a nice time and other lies...: how to find love & sh*t like that,PROD1186
Hollow City (Miss Peregrine’s Peculiar Children #2),42.98,1,HOLLOW CITY (MISS PEREGRINE’S PECULIAR CHILDREN #2),hollow city (miss peregrine’s peculiar children #2),PROD1187
Grumbles,22.16,2,GRUMBLES,grumbles,PROD1188
Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,FULL MOON OVER NOAH’S ARK: AN ODYSSEY TO MOUNT ARARAT AND BEYOND,full moon over noah’s ark: an odyssey to mount ararat and beyond,PROD1189
Frostbite (Vampire Academy #2),29.99,5,FROSTBITE (VAMPIRE ACADEMY #2),frostbite (vampire academy #2),PROD1190
Follow You Home,21.36,1,FOLLOW YOU HOME,follow you home,PROD1191
First Steps for New Christians (Print Edition),29.0,1,FIRST STEPS FOR NEW CHRISTIANS (PRINT EDITION),first steps for new christians (print edition),PROD1192
Finders Keepers (Bill Hodges Trilogy #2),53.53,5,FINDERS KEEPERS (BILL HODGES TRILOGY #2),finders keepers (bill hodges trilogy #2),PROD1193
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,"FABLES, VOL. 1: LEGENDS IN EXILE (FABLES #1)","fables, vol. 1: legends in exile (fables #1)",PROD1194
Eureka Trivia 6.0,54.59,4,EUREKA TRIVIA 6.0,eureka trivia 6.0,PROD1195
Drive: The Surprising Truth About What Motivates Us,34.95,4,DRIVE: THE SURPRISING TRUTH ABOUT WHAT MOTIVATES US,drive: the surprising truth about what motivates us,PROD1196
Done Rubbed Out (Reightman & Bailey #1),37.72,5,DONE RUBBED OUT (REIGHTMAN & BAILEY #1),done rubbed out (reightman & bailey #1),PROD1197
Doing It Over (Most Likely To #1),35.61,3,DOING IT OVER (MOST LIKELY TO #1),doing it over (most likely to #1),PROD1198
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,3,"DELICIOUSLY ELLA EVERY DAY: QUICK AND EASY RECIPES FOR GLUTEN-FREE SNACKS, PACKED LUNCHES, AND SIMPLE MEALS","deliciously ella every day: quick and easy recipes for gluten-free snacks, packed lunches, and simple meals",PROD1199
Dark Notes,19.19,5,DARK NOTES,dark notes,PROD1200
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,3,"DARING GREATLY: HOW THE COURAGE TO BE VULNERABLE TRANSFORMS THE WAY WE LIVE, LOVE, PARENT, AND LEAD","daring greatly: how the courage to be vulnerable transforms the way we live, love, parent, and lead",PROD1201
Close to You,49.46,4,CLOSE TO YOU,close to you,PROD1202
Chasing Heaven: What Dying Taught Me About Living,37.8,2,CHASING HEAVEN: WHAT DYING TAUGHT ME ABOUT LIVING,chasing heaven: what dying taught me about living,PROD1203
Big Magic: Creative Living Beyond Fear,30.8,3,BIG MAGIC: CREATIVE LIVING BEYOND FEAR,big magic: creative living beyond fear,PROD1204
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,2,BECOMING WISE: AN INQUIRY INTO THE MYSTERY AND ART OF LIVING,becoming wise: an inquiry into the mystery and art of living,PROD1205
Beauty Restored (Riley Family Legacy Novellas #3),11.11,2,BEAUTY RESTORED (RILEY FAMILY LEGACY NOVELLAS #3),beauty restored (riley family legacy novellas #3),PROD1206
Batman: The Long Halloween (Batman),36.5,2,BATMAN: THE LONG HALLOWEEN (BATMAN),batman: the long halloween (batman),PROD1207
Batman: The Dark Knight Returns (Batman),15.38,5,BATMAN: THE DARK KNIGHT RETURNS (BATMAN),batman: the dark knight returns (batman),PROD1208
Ayumi's Violin,15.48,2,AYUMI'S VIOLIN,ayumi's violin,PROD1209
Anonymous,46.82,4,ANONYMOUS,anonymous,PROD1210
Amy Meets the Saints and Sages,18.46,3,AMY MEETS THE SAINTS AND SAGES,amy meets the saints and sages,PROD1211
Amid the Chaos,36.58,1,AMID THE CHAOS,amid the chaos,PROD1212
Amatus,50.54,5,AMATUS,amatus,PROD1213
Agnostic: A Spirited Manifesto,12.51,5,AGNOSTIC: A SPIRITED MANIFESTO,agnostic: a spirited manifesto,PROD1214
Zealot: The Life and Times of Jesus of Nazareth,24.7,3,ZEALOT: THE LIFE AND TIMES OF JESUS OF NAZARETH,zealot: the life and times of jesus of nazareth,PROD1215
You (You #1),43.61,5,YOU (YOU #1),you (you #1),PROD1216
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,"WONDER WOMAN: EARTH ONE, VOLUME ONE (WONDER WOMAN: EARTH ONE #1)","wonder woman: earth one, volume one (wonder woman: earth one #1)",PROD1217
Wild Swans,14.36,2,WILD SWANS,wild swans,PROD1218
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4,WHY THE RIGHT WENT WRONG: CONSERVATISM--FROM GOLDWATER TO THE TEA PARTY AND BEYOND,why the right went wrong: conservatism--from goldwater to the tea party and beyond,PROD1219
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,4,WHOLE LOTTA CREATIVITY GOING ON: 60 FUN AND UNUSUAL EXERCISES TO AWAKEN AND STRENGTHEN YOUR CREATIVITY,whole lotta creativity going on: 60 fun and unusual exercises to awaken and strengthen your creativity,PROD1220
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,2,WHAT'S IT LIKE IN SPACE?: STORIES FROM ASTRONAUTS WHO'VE BEEN THERE,what's it like in space?: stories from astronauts who've been there,PROD1221
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,"WE ARE ROBIN, VOL. 1: THE VIGILANTE BUSINESS (WE ARE ROBIN #1)","we are robin, vol. 1: the vigilante business (we are robin #1)",PROD1222
Walt Disney's Alice in Wonderland,12.96,5,WALT DISNEY'S ALICE IN WONDERLAND,walt disney's alice in wonderland,PROD1223
V for Vendetta (V for Vendetta Complete),37.1,4,V FOR VENDETTA (V FOR VENDETTA COMPLETE),v for vendetta (v for vendetta complete),PROD1224
Until Friday Night (The Field Party #1),46.31,2,UNTIL FRIDAY NIGHT (THE FIELD PARTY #1),until friday night (the field party #1),PROD1225
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,2,"UNBROKEN: A WORLD WAR II STORY OF SURVIVAL, RESILIENCE, AND REDEMPTION","unbroken: a world war ii story of survival, resilience, and redemption",PROD1226
Twenty Yawns,22.08,2,TWENTY YAWNS,twenty yawns,PROD1227
Through the Woods,25.38,2,THROUGH THE WOODS,through the woods,PROD1228
This Is Where It Ends,27.12,2,THIS IS WHERE IT ENDS,this is where it ends,PROD1229
The Year of Magical Thinking,43.04,2,THE YEAR OF MAGICAL THINKING,the year of magical thinking,PROD1230
The Wright Brothers,56.8,4,THE WRIGHT BROTHERS,the wright brothers,PROD1231
The White Queen (The Cousins' War #1),25.91,5,THE WHITE QUEEN (THE COUSINS' WAR #1),the white queen (the cousins' war #1),PROD1232
The Wedding Pact (The O'Malleys #2),32.61,3,THE WEDDING PACT (THE O'MALLEYS #2),the wedding pact (the o'malleys #2),PROD1233
The Time Keeper,27.88,5,THE TIME KEEPER,the time keeper,PROD1234
The Testament of Mary,52.67,4,THE TESTAMENT OF MARY,the testament of mary,PROD1235
The Star-Touched Queen,46.02,5,THE STAR-TOUCHED QUEEN,the star-touched queen,PROD1236
The Songs of the Gods,44.48,5,THE SONGS OF THE GODS,the songs of the gods,PROD1237
The Song of Achilles,37.4,5,THE SONG OF ACHILLES,the song of achilles,PROD1238
The Rosie Project (Don Tillman #1),54.04,1,THE ROSIE PROJECT (DON TILLMAN #1),the rosie project (don tillman #1),PROD1239
The Power of Habit: Why We Do What We Do in Life and Business,16.88,3,THE POWER OF HABIT: WHY WE DO WHAT WE DO IN LIFE AND BUSINESS,the power of habit: why we do what we do in life and business,PROD1240
The Marriage of Opposites,28.08,4,THE MARRIAGE OF OPPOSITES,the marriage of opposites,PROD1241
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,1,THE LUCIFER EFFECT: UNDERSTANDING HOW GOOD PEOPLE TURN EVIL,the lucifer effect: understanding how good people turn evil,PROD1242
The Long Haul (Diary of a Wimpy Kid #9),44.07,1,THE LONG HAUL (DIARY OF A WIMPY KID #9),the long haul (diary of a wimpy kid #9),PROD1243
The Loney,23.4,1,THE LONEY,the loney,PROD1244
The Literature Book (Big Ideas Simply Explained),17.43,3,THE LITERATURE BOOK (BIG IDEAS SIMPLY EXPLAINED),the literature book (big ideas simply explained),PROD1245
The Last Mile (Amos Decker #2),54.21,2,THE LAST MILE (AMOS DECKER #2),the last mile (amos decker #2),PROD1246
The Immortal Life of Henrietta Lacks,40.67,2,THE IMMORTAL LIFE OF HENRIETTA LACKS,the immortal life of henrietta lacks,PROD1247
The Hidden Oracle (The Trials of Apollo #1),52.26,2,THE HIDDEN ORACLE (THE TRIALS OF APOLLO #1),the hidden oracle (the trials of apollo #1),PROD1248
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,3,THE HELP YOURSELF COOKBOOK FOR KIDS: 60 EASY PLANT-BASED RECIPES KIDS CAN MAKE TO STAY HEALTHY AND SAVE THE EARTH,the help yourself cookbook for kids: 60 easy plant-based recipes kids can make to stay healthy and save the earth,PROD1249
The Guilty (Will Robie #4),13.82,2,THE GUILTY (WILL ROBIE #4),the guilty (will robie #4),PROD1250
The First Hostage (J.B. Collins #2),25.85,3,THE FIRST HOSTAGE (J.B. COLLINS #2),the first hostage (j.b. collins #2),PROD1251
The Dovekeepers,48.78,1,THE DOVEKEEPERS,the dovekeepers,PROD1252
The Darkest Lie,35.35,5,THE DARKEST LIE,the darkest lie,PROD1253
The Bane Chronicles (The Bane Chronicles #1-11),44.73,4,THE BANE CHRONICLES (THE BANE CHRONICLES #1-11),the bane chronicles (the bane chronicles #1-11),PROD1254
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the World’s Most Precious Manuscripts,15.77,1,THE BAD-ASS LIBRARIANS OF TIMBUKTU: AND THEIR RACE TO SAVE THE WORLD’S MOST PRECIOUS MANUSCRIPTS,the bad-ass librarians of timbuktu: and their race to save the world’s most precious manuscripts,PROD1255
The 14th Colony (Cotton Malone #11),39.24,1,THE 14TH COLONY (COTTON MALONE #11),the 14th colony (cotton malone #11),PROD1256
That Darkness (Gardiner and Renner #1),13.92,1,THAT DARKNESS (GARDINER AND RENNER #1),that darkness (gardiner and renner #1),PROD1257
Tastes Like Fear (DI Marnie Rome #3),10.69,1,TASTES LIKE FEAR (DI MARNIE ROME #3),tastes like fear (di marnie rome #3),PROD1258
Take Me with You,45.21,3,TAKE ME WITH YOU,take me with you,PROD1259
Swell: A Year of Waves,45.58,1,SWELL: A YEAR OF WAVES,swell: a year of waves,PROD1260
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,SUPERMAN VOL. 1: BEFORE TRUTH (SUPERMAN BY GENE LUEN YANG #1),superman vol. 1: before truth (superman by gene luen yang #1),PROD1261
Still Life with Bread Crumbs,26.41,3,STILL LIFE WITH BREAD CRUMBS,still life with bread crumbs,PROD1262
Steve Jobs,39.5,5,STEVE JOBS,steve jobs,PROD1263
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,4,SORTING THE BEEF FROM THE BULL: THE SCIENCE OF FOOD FRAUD FORENSICS,sorting the beef from the bull: the science of food fraud forensics,PROD1264
Someone Like You (The Harrisons #2),52.79,5,SOMEONE LIKE YOU (THE HARRISONS #2),someone like you (the harrisons #2),PROD1265
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,"SO CUTE IT HURTS!!, VOL. 6 (SO CUTE IT HURTS!! #6)","so cute it hurts!!, vol. 6 (so cute it hurts!! #6)",PROD1266
Shtum,55.84,4,SHTUM,shtum,PROD1267
See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,SEE AMERICA: A CELEBRATION OF OUR NATIONAL PARKS & TREASURED SITES,see america: a celebration of our national parks & treasured sites,PROD1268
salt.,46.78,4,SALT.,salt.,PROD1269
Robin War,47.82,3,ROBIN WAR,robin war,PROD1270
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,"RED HOOD/ARSENAL, VOL. 1: OPEN FOR BUSINESS (RED HOOD/ARSENAL #1)","red hood/arsenal, vol. 1: open for business (red hood/arsenal #1)",PROD1271
Rain Fish,23.57,3,RAIN FISH,rain fish,PROD1272
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,5,"QUARTER LIFE POETRY: POEMS FOR THE YOUNG, BROKE AND HANGRY","quarter life poetry: poems for the young, broke and hangry",PROD1273
Pet Sematary,10.56,3,PET SEMATARY,pet sematary,PROD1274
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,3,"OVERLOAD: HOW TO UNPLUG, UNWIND, AND UNLEASH YOURSELF FROM THE PRESSURE OF STRESS","overload: how to unplug, unwind, and unleash yourself from the pressure of stress",PROD1275
Once Was a Time,18.28,2,ONCE WAS A TIME,once was a time,PROD1276
Old School (Diary of a Wimpy Kid #10),11.83,5,OLD SCHOOL (DIARY OF A WIMPY KID #10),old school (diary of a wimpy kid #10),PROD1277
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,2,NO DREAM IS TOO HIGH: LIFE LESSONS FROM A MAN WHO WALKED ON THE MOON,no dream is too high: life lessons from a man who walked on the moon,PROD1278
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,"NARUTO (3-IN-1 EDITION), VOL. 14: INCLUDES VOLS. 40, 41 & 42 (NARUTO: OMNIBUS #14)","naruto (3-in-1 edition), vol. 14: includes vols. 40, 41 & 42 (naruto: omnibus #14)",PROD1279
My Name Is Lucy Barton,41.56,1,MY NAME IS LUCY BARTON,my name is lucy barton,PROD1280
My Mrs. Brown,24.48,3,MY MRS. BROWN,my mrs. brown,PROD1281
My Kind of Crazy,40.36,1,MY KIND OF CRAZY,my kind of crazy,PROD1282
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,1,MR. MERCEDES (BILL HODGES TRILOGY #1),mr. mercedes (bill hodges trilogy #1),PROD1283
More Than Music (Chasing the Dream #1),37.61,2,MORE THAN MUSIC (CHASING THE DREAM #1),more than music (chasing the dream #1),PROD1284
Made to Stick: Why Some Ideas Survive and Others Die,38.85,5,MADE TO STICK: WHY SOME IDEAS SURVIVE AND OTHERS DIE,made to stick: why some ideas survive and others die,PROD1285
Luis Paints the World,53.95,3,LUIS PAINTS THE WORLD,luis paints the world,PROD1286
Luckiest Girl Alive,49.83,3,LUCKIEST GIRL ALIVE,luckiest girl alive,PROD1287
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,LOWRIDERS TO THE CENTER OF THE EARTH (LOWRIDERS IN SPACE #2),lowriders to the center of the earth (lowriders in space #2),PROD1288
Love Is a Mix Tape (Music #1),18.03,1,LOVE IS A MIX TAPE (MUSIC #1),love is a mix tape (music #1),PROD1289
Looking for Lovely: Collecting the Moments that Matter,29.14,5,LOOKING FOR LOVELY: COLLECTING THE MOMENTS THAT MATTER,looking for lovely: collecting the moments that matter,PROD1290
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,4,"LIVING LEADERSHIP BY INSIGHT: A GOOD LEADER ACHIEVES, A GREAT LEADER BUILDS MONUMENTS","living leadership by insight: a good leader achieves, a great leader builds monuments",PROD1291
Let It Out: A Journey Through Journaling,26.79,5,LET IT OUT: A JOURNEY THROUGH JOURNALING,let it out: a journey through journaling,PROD1292
Lady Midnight (The Dark Artifices #1),16.28,5,LADY MIDNIGHT (THE DARK ARTIFICES #1),lady midnight (the dark artifices #1),PROD1293
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,1,"IT'S ALL EASY: HEALTHY, DELICIOUS WEEKNIGHT MEALS IN UNDER 30 MINUTES","it's all easy: healthy, delicious weeknight meals in under 30 minutes",PROD1294
Island of Dragons (Unwanteds #7),29.65,1,ISLAND OF DRAGONS (UNWANTEDS #7),island of dragons (unwanteds #7),PROD1295
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,4,I KNOW WHAT I'M DOING -- AND OTHER LIES I TELL MYSELF: DISPATCHES FROM A LIFE UNDER CONSTRUCTION,i know what i'm doing -- and other lies i tell myself: dispatches from a life under construction,PROD1296
I Am Pilgrim (Pilgrim #1),10.6,4,I AM PILGRIM (PILGRIM #1),i am pilgrim (pilgrim #1),PROD1297
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,5,"HYPERBOLE AND A HALF: UNFORTUNATE SITUATIONS, FLAWED COPING MECHANISMS, MAYHEM, AND OTHER THINGS THAT HAPPENED","hyperbole and a half: unfortunate situations, flawed coping mechanisms, mayhem, and other things that happened",PROD1298
"Hush, Hush (Hush, Hush #1)",47.02,3,"HUSH, HUSH (HUSH, HUSH #1)","hush, hush (hush, hush #1)",PROD1299
Hold Your Breath (Search and Rescue #1),28.82,1,HOLD YOUR BREATH (SEARCH AND RESCUE #1),hold your breath (search and rescue #1),PROD1300
Hamilton: The Revolution,58.79,3,HAMILTON: THE REVOLUTION,hamilton: the revolution,PROD1301
Greek Mythic History,10.23,5,GREEK MYTHIC HISTORY,greek mythic history,PROD1302
God: The Most Unpleasant Character in All Fiction,30.03,5,GOD: THE MOST UNPLEASANT CHARACTER IN ALL FICTION,god: the most unpleasant character in all fiction,PROD1303
Glory over Everything: Beyond The Kitchen House,45.84,3,GLORY OVER EVERYTHING: BEYOND THE KITCHEN HOUSE,glory over everything: beyond the kitchen house,PROD1304
Feathers: Displays of Brilliant Plumage,49.05,3,FEATHERS: DISPLAYS OF BRILLIANT PLUMAGE,feathers: displays of brilliant plumage,PROD1305
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4,"FAR & AWAY: PLACES ON THE BRINK OF CHANGE: SEVEN CONTINENTS, TWENTY-FIVE YEARS","far & away: places on the brink of change: seven continents, twenty-five years",PROD1306
Every Last Word,46.47,3,EVERY LAST WORD,every last word,PROD1307
Eligible (The Austen Project #4),27.09,3,ELIGIBLE (THE AUSTEN PROJECT #4),eligible (the austen project #4),PROD1308
El Deafo,57.62,5,EL DEAFO,el deafo,PROD1309
Eight Hundred Grapes,14.39,4,EIGHT HUNDRED GRAPES,eight hundred grapes,PROD1310
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5,"EATERNITY: MORE THAN 150 DELICIOUSLY EASY VEGAN RECIPES FOR A LONG, HEALTHY, SATISFIED, JOYFUL LIFE","eaternity: more than 150 deliciously easy vegan recipes for a long, healthy, satisfied, joyful life",PROD1311
"Eat Fat, Get Thin",54.07,2,"EAT FAT, GET THIN","eat fat, get thin",PROD1312
Don't Get Caught,55.35,1,DON'T GET CAUGHT,don't get caught,PROD1313
Doctor Sleep (The Shining #2),40.12,2,DOCTOR SLEEP (THE SHINING #2),doctor sleep (the shining #2),PROD1314
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,5,DEMIGODS & MAGICIANS: PERCY AND ANNABETH MEET THE KANES (PERCY JACKSON & KANE CHRONICLES CROSSOVER #1-3),demigods & magicians: percy and annabeth meet the kanes (percy jackson & kane chronicles crossover #1-3),PROD1315
Dear Mr. Knightley,11.21,5,DEAR MR. KNIGHTLEY,dear mr. knightley,PROD1316
Daily Fantasy Sports,36.58,1,DAILY FANTASY SPORTS,daily fantasy sports,PROD1317
Crazy Love: Overwhelmed by a Relentless God,47.72,2,CRAZY LOVE: OVERWHELMED BY A RELENTLESS GOD,crazy love: overwhelmed by a relentless god,PROD1318
Cometh the Hour (The Clifton Chronicles #6),25.01,3,COMETH THE HOUR (THE CLIFTON CHRONICLES #6),cometh the hour (the clifton chronicles #6),PROD1319
Code Name Verity (Code Name Verity #1),22.13,4,CODE NAME VERITY (CODE NAME VERITY #1),code name verity (code name verity #1),PROD1320
Clockwork Angel (The Infernal Devices #1),44.14,1,CLOCKWORK ANGEL (THE INFERNAL DEVICES #1),clockwork angel (the infernal devices #1),PROD1321
City of Glass (The Mortal Instruments #3),56.02,4,CITY OF GLASS (THE MORTAL INSTRUMENTS #3),city of glass (the mortal instruments #3),PROD1322
City of Fallen Angels (The Mortal Instruments #4),11.23,4,CITY OF FALLEN ANGELS (THE MORTAL INSTRUMENTS #4),city of fallen angels (the mortal instruments #4),PROD1323
City of Bones (The Mortal Instruments #1),43.28,1,CITY OF BONES (THE MORTAL INSTRUMENTS #1),city of bones (the mortal instruments #1),PROD1324
City of Ashes (The Mortal Instruments #2),47.27,1,CITY OF ASHES (THE MORTAL INSTRUMENTS #2),city of ashes (the mortal instruments #2),PROD1325
Cell,20.29,4,CELL,cell,PROD1326
Catching Jordan (Hundred Oaks),50.83,3,CATCHING JORDAN (HUNDRED OAKS),catching jordan (hundred oaks),PROD1327
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,3,"CARRY ON, WARRIOR: THOUGHTS ON LIFE UNARMED","carry on, warrior: thoughts on life unarmed",PROD1328
Carrie,46.23,2,CARRIE,carrie,PROD1329
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4,BUYING IN: THE SECRET DIALOGUE BETWEEN WHAT WE BUY AND WHO WE ARE,buying in: the secret dialogue between what we buy and who we are,PROD1330
Brain on Fire: My Month of Madness,49.32,5,BRAIN ON FIRE: MY MONTH OF MADNESS,brain on fire: my month of madness,PROD1331
Batman: Europa,32.01,2,BATMAN: EUROPA,batman: europa,PROD1332
Barefoot Contessa Back to Basics,28.01,1,BAREFOOT CONTESSA BACK TO BASICS,barefoot contessa back to basics,PROD1333
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,5,BAREFOOT CONTESSA AT HOME: EVERYDAY RECIPES YOU'LL MAKE OVER AND OVER AGAIN,barefoot contessa at home: everyday recipes you'll make over and over again,PROD1334
Balloon Animals,17.03,3,BALLOON ANIMALS,balloon animals,PROD1335
Art Ops Vol. 1,48.8,3,ART OPS VOL. 1,art ops vol. 1,PROD1336
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,4,ARISTOTLE AND DANTE DISCOVER THE SECRETS OF THE UNIVERSE (ARISTOTLE AND DANTE DISCOVER THE SECRETS OF THE UNIVERSE #1),aristotle and dante discover the secrets of the universe (aristotle and dante discover the secrets of the universe #1),PROD1337
Angels Walking (Angels Walking #1),34.2,2,ANGELS WALKING (ANGELS WALKING #1),angels walking (angels walking #1),PROD1338
Angels & Demons (Robert Langdon #1),51.48,3,ANGELS & DEMONS (ROBERT LANGDON #1),angels & demons (robert langdon #1),PROD1339
All the Light We Cannot See,29.87,5,ALL THE LIGHT WE CANNOT SEE,all the light we cannot see,PROD1340
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,"ADULTHOOD IS A MYTH: A ""SARAH'S SCRIBBLES"" COLLECTION","adulthood is a myth: a ""sarah's scribbles"" collection",PROD1341
Abstract City,56.37,5,ABSTRACT CITY,abstract city,PROD1342
A Time of Torment (Charlie Parker #14),48.35,5,A TIME OF TORMENT (CHARLIE PARKER #14),a time of torment (charlie parker #14),PROD1343
A Study in Scarlet (Sherlock Holmes #1),16.73,2,A STUDY IN SCARLET (SHERLOCK HOLMES #1),a study in scarlet (sherlock holmes #1),PROD1344
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,2,"A SERIES OF CATASTROPHES AND MIRACLES: A TRUE STORY OF LOVE, SCIENCE, AND CANCER","a series of catastrophes and miracles: a true story of love, science, and cancer",PROD1345
A People's History of the United States,40.79,2,A PEOPLE'S HISTORY OF THE UNITED STATES,a people's history of the united states,PROD1346
A Man Called Ove,39.72,1,A MAN CALLED OVE,a man called ove,PROD1347
A Distant Mirror: The Calamitous 14th Century,14.58,3,A DISTANT MIRROR: THE CALAMITOUS 14TH CENTURY,a distant mirror: the calamitous 14th century,PROD1348
